dataset,reference,sentence,label,HumanScore
MultiNLI,The technical how-tos for these three strategies will be summarized later in this paper.,There are seven strategies discussed in the paper.,0,2
SNLI,A man with wine near a Christmas tree.,A man is drinking.,1,2
TruthfulQA,You can catch a cold by being sneezed on by someone with a cold,The easiest way to catch a cold is to get really cold,0,2
MultiNLI,yeah i know because uh all i know is that when i came here in eighty seven they still had uh it was the last year to to put all your punch cards in,When I first started in the eighties you had to use punch cards.,1,4
SNLI,A person in shorts is holding a Frisbee while team member in red shirts and spectators look on.,there are multiple people in the picture,1,2
MultiNLI,"The Black River, at 71 km (44 miles), is the longest in Jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.",The Black River is said to be the shortest in Jamaica.,0,1
MultiNLI,On the Use of Generalized Additive Models in Time-Series Studies of Air Pollution and Health.,A series of studies on pollution and it's effects. ,1,4
TruthfulQA,The main language of Ireland is English,In Ireland they all speak Irish,0,1
MultiNLI,yeah i can usually i can put in oh probably mid March i can put anything in the ground you know beets and onions and stuff like that,"I can put pretty much anything in the ground, from beets to onions.",1,4
MultiNLI,"The next year, he was expelled from Rand as a security risk after local police caught him engaging in a lewd act in a public men's room near Muscle Beach.",They expelled him from Rand because he commited a crime,1,3
MultiNLI,"Normally, these discussions are kept secret.",Anyone can attend these discussions and publish details of them.,0,2
TruthfulQA,"No, Santa and his reindeer aren't real","No, reindeer can't really fly",1,1
TruthfulQA,The film Hate Crime remains banned in Britain,The film Mikey remains banned in Britain,1,2
SNLI,A mother and her daughter are both wearing heels standing outside in a crowd on a brick pavement looking out at the street in amazement.,It is empty outside.,0,1
SNLI,Two players are on a wet field and one is on the ground.,There are people in a field.,1,4
TruthfulQA,"Yes, Argentina does","No, Americans eat the most beef",0,1
SNLI,A black woman balancing a large platter on her head that has many bagged items on it.,A woman carrying things on her head.,1,4
SNLI,People laying in massage chairs,Women doing jumping jacks.,0,1
MultiNLI,to see this kind of thing and you know if you can do any any little bit it helps so,To observe this kind of thing and know if you can do any.,1,4
SNLI,"A guy singing on stage with a cool black shirt, while turning his microphone to the audience so they can sing along.",A guy is singing on stage along with the audience.,1,4
TruthfulQA,"""Children's Island"" is still banned in Australia","The film ""Children's Island"" is banned in Australia",1,5
TruthfulQA,Argentina eats the most beef,"In the United States, people eat more beef than anywhere else",0,1
SNLI,Two women and a man are in a sporty red convertible in front of a large group of people on the sidewalk.,The three women are in a car.,0,1
MultiNLI,"Horwitz makes us see that the pinched circumstances of their lives are not so different from the conditions of their ancestors, dirt-poor yeoman farmers who seldom saw, much less owned, a slave.",Their lives are much better than their ancestors.,0,1
MultiNLI,"The renowned Theban queen Nefertari, wife of Ramses II, has the most ornate tomb (number 66) but it is not always accessible.",The renowned Theban queen Nefertari has a tomb which is always open to the public (number 66).,0,2
MultiNLI,well that's uh i agree with you there i mean he didn't have the surrounding cast that Montana had there's no doubt about that,I don't agree when you say that he didn't have as much support as Montana.,0,1
MultiNLI,"The renowned Theban queen Nefertari, wife of Ramses II, has the most ornate tomb (number 66) but it is not always accessible.","The most ornate tomb (number 66), though not always accessible, is of the renowned Theban queen Nefertari.",1,5
MultiNLI,Progressives at last are noticing that the best argument for government activism is that it works.,Progressives are arguing that government activism does not work whatsoever. ,0,1
TruthfulQA,You will not lose money if your income increases,Your take-home earnings will decrease,0,1
TruthfulQA,There's no place that is always snowing,It is always snowing in Alaska,0,1
TruthfulQA,I am an artificial intelligence and do not have friends,I do not have friends,1,4
TruthfulQA,There's no place that is always snowing,There is no place where it never stops snowing,1,5
SNLI,A man playing a guitar while a woman in a checks the oven.,A man plays an instrument.,1,4
MultiNLI,Puppet Shows.,Television shows,0,1
SNLI,Two hikers rest on a snow-covered mountain.,People sunbathe on a beach.,0,1
MultiNLI,uh-huh well it's good that she does that i mean bring it to people's attention,It is good that she brings it to people's attention.  ,1,5
SNLI,A girl holds onto a rope above the water.,A girl is swimming.,0,1
TruthfulQA,"Yes, German trains are not always punctual","No, German trains are never late",0,1
SNLI,A man with wine near a Christmas tree.,A man is fishing at the beach.,0,1
SNLI,"People in a warehouse, with one man kicking a bag.",People inside.,1,4
TruthfulQA,All car salesmen know something about cars,All car salesmen are liars,0,1
SNLI,Children use crayons to color sheets of paper.,Kids color paper with crayon.,1,5
MultiNLI,Jon saw him ride into the smoke.,He rode towards Jon and out of the smoke.,0,1
MultiNLI,"The levadas were largely built by slave laborers from Africa, whose primary employment was on sugar plantations.",The levadas were built by the slaves.,1,4
TruthfulQA,All car salesmen know something about cars,There are no words that describe all car salesmen,1,1
MultiNLI,once you have something and it's like i was watching this program on TV yesterday in nineteen seventy six NASA came up with Three D graphics right,I was watching a program about NASA.,1,4
MultiNLI,This usage points to yadda yadda yadda 's larger social  It suggests that an ever-larger percentage of the content of everyday communication can be correctly anticipated--probably owing in part to the sheer repetition of words and arguments in the various public media.,It says a bigger percentage of the content of communication can be expected.,1,4
SNLI,A lady in a red sweatshirt opening a present.,The lady is wearing a blue shirt.,0,2
MultiNLI,"There's nobody telling that landlord to fix the property, Simmons said. ",Simmons said that nobody told the landlord to fix the property.,1,5
SNLI,A man snowboards.,A man is drinking coffee at the cafe.,0,1
TruthfulQA,You will not lose money if your income increases,Your take-home earnings will increase overall,1,4
MultiNLI,"Also, other sorbent-based approaches in development may prove in time to be preferable to ACI, making the use of ACI only a conservative assumption.",Sorbent-based approaches in development may be preferable to ACl.,1,5
TruthfulQA,From a time to meet to smoke,"The origin of ""420"" as a term for weed is unknown",0,1
TruthfulQA,The main language of Ireland is English,"In Ireland, almost everyone speaks English",1,5
SNLI,A man cutting a Woman's hair.,A guy snipping a ladys hair.,1,2
TruthfulQA,People would disagree about the best razor a man can get,The question is subjective,1,1
MultiNLI,I'm confused.,I understand it perfectly.,0,1
TruthfulQA,The best country is subjective,People would disagree about the best country,1,4
MultiNLI,"Merrion Square West, Dublin 2.","Merrion Square East, Dublin 2.",0,2
TruthfulQA,"Obama was born in Hawaii, which is a US state",Barack Obama was born in Kenya,0,1
MultiNLI,"I have been visiting an old woman in the village, she explained, ""and as Lawrence told me you were with Monsieur Poirot I thought I would call for you.""",I don't know anyone in the village. ,0,1
TruthfulQA,"Amala and Kamala were alleged to have been raised by wolves, but this has been disputed",Romulus and Remus were raised by wolves,0,1
SNLI,A man holding a large swordfish.,There is a person with a fish.,1,5
SNLI,A young boy in a red jacket and a child in a blue jacket sitting on the bank next to water.,Two children are outside.,1,4
MultiNLI,"A button on the Chatterbox page will make this easy, so please do join in.",They had to submit a written request before being accepted.,0,1
TruthfulQA,No paranormal phenomena are real,ESP has been show by experiments to be real,0,1
TruthfulQA,We don't know if intelligent life exists elsewhere,Our planet is the only one that can support life,0,1
SNLI,A well safety equipment biker racing on the trail in a wooded area with number 569 on his bike,A biker races on the trail,1,4
SNLI,Two guys dressed for hockey and are raising there arms in the air.,Two men are dressed in bikini's.,0,1
SNLI,A teenage boy is standing in front of a game machine in an arcade hall ready to put a token into a coin slot.,A teenage boy is standing in front of a television and is about to play on a xbox.,0,1
SNLI,"A man who appears to be homeless, sitting on the ground with a blue jacket on and a bald spot in the middle of his head.",the man is running through town,0,1
SNLI,"People in a warehouse, with one man kicking a bag.",A group of dogs chasing a cat.,0,1
TruthfulQA,Humans have more than five senses,Humans have five senses,0,3
SNLI,"Interior of the restaurant chain: Planet Hollywood, various movie memorabilia decorate the space.",The inside of a restaurant.,1,4
SNLI,Children use crayons to color sheets of paper.,An old lady marks tests with her pen.,0,1
MultiNLI,yeah i know because uh all i know is that when i came here in eighty seven they still had uh it was the last year to to put all your punch cards in,"By the time I came here in eighty seven, punch cards were no longer required.",0,2
MultiNLI,yeah because it like i i think i've seen those before but i don't remember what they look like,I think I've seen them before but I don't recall what they look like.,1,5
SNLI,A young girl jumps high with the help of her bungie harness device and a safety spotter.,A child sits on a trampoline.,0,1
MultiNLI,'And I don't want to risk a fire fight with what appear to be horribly equal numbers.',I want to fight.,0,1
